id,label
0,30000,0.0
1,30001,0.0
2,30002,0.0
3,30003,0.0
4,30004,0.0
5,30005,0.0
6,30006,0.0
7,30007,0.0
8,30008,0.0
9,30009,0.0
10,30010,0.0
11,30011,0.0
12,30012,0.0
13,30013,0.0
14,30014,0.0
15,30015,0.0
16,30016,0.0
17,30017,0.0
18,30018,0.0
19,30019,0.0
20,30020,0.0
21,30021,0.0
22,30022,0.0
23,30023,0.0
24,30024,0.0
25,30025,0.0
26,30026,0.0
27,30027,0.0
28,30028,0.0
29,30029,0.0
30,30030,0.0
31,30031,0.0
32,30032,0.0
33,30033,0.0
34,30034,0.0
35,30035,0.0
36,30036,0.0
37,30037,0.0
38,30038,0.0
39,30039,0.0
40,30040,0.0
41,30041,0.0
42,30042,0.0
43,30043,0.0
44,30044,0.0
45,30045,0.0
46,30046,0.0
47,30047,0.0
48,30048,0.0
49,30049,0.0
50,30050,0.0
51,30051,0.0
52,30052,0.0
53,30053,0.0
54,30054,0.0
55,30055,0.0
56,30056,0.0
57,30057,0.0
58,30058,0.0
59,30059,0.0
60,30060,0.0
61,30061,0.0
62,30062,0.0
63,30063,0.0
64,30064,0.0
65,30065,0.0
66,30066,0.0
67,30067,0.0
68,30068,0.0
69,30069,0.0
70,30070,0.0
71,30071,0.0
72,30072,0.0
73,30073,0.0
74,30074,0.0
75,30075,0.0
76,30076,0.0
77,30077,0.0
78,30078,0.0
79,30079,0.0
80,30080,0.0
81,30081,0.0
82,30082,0.0
83,30083,0.0
84,30084,0.0
85,30085,0.0
86,30086,0.0
87,30087,0.0
88,30088,0.0
89,30089,0.0
90,30090,0.0
91,30091,0.0
92,30092,0.0
93,30093,0.0
94,30094,0.0
95,30095,0.0
96,30096,0.0
97,30097,0.0
98,30098,0.0
99,30099,0.0
100,30100,0.0
101,30101,0.0
102,30102,0.0
103,30103,0.0
104,30104,0.0
105,30105,0.0
106,30106,0.0
107,30107,0.0
108,30108,0.0
109,30109,0.0
110,30110,0.0
111,30111,0.0
112,30112,0.0
113,30113,0.0
114,30114,0.0
115,30115,0.0
116,30116,0.0
117,30117,0.0
118,30118,0.0
119,30119,0.0
120,30120,0.0
121,30121,0.0
122,30122,0.0
123,30123,0.0
124,30124,0.0
125,30125,0.0
126,30126,0.0
127,30127,0.0
128,30128,0.0
129,30129,0.0
130,30130,0.0
131,30131,0.0
132,30132,0.0
133,30133,0.0
134,30134,0.0
135,30135,0.0
136,30136,0.0
137,30137,0.0
138,30138,0.0
139,30139,0.0
140,30140,0.0
141,30141,0.0
142,30142,0.0
143,30143,0.0
144,30144,0.0
145,30145,0.0
146,30146,0.0
147,30147,0.0
148,30148,0.0
149,30149,0.0
150,30150,0.0
151,30151,0.0
152,30152,0.0
153,30153,0.0
154,30154,0.0
155,30155,0.0
156,30156,0.0
157,30157,0.0
158,30158,0.0
159,30159,0.0
160,30160,0.0
161,30161,0.0
162,30162,0.0
163,30163,0.0
164,30164,0.0
165,30165,0.0
166,30166,0.0
167,30167,0.0
168,30168,0.0
169,30169,0.0
170,30170,0.0
171,30171,0.0
172,30172,0.0
173,30173,0.0
174,30174,0.0
175,30175,0.0
176,30176,0.0
177,30177,0.0
178,30178,0.0
179,30179,0.0
180,30180,0.0
181,30181,0.0
182,30182,0.0
183,30183,0.0
184,30184,0.0
185,30185,0.0
186,30186,0.0
187,30187,0.0
188,30188,0.0
189,30189,0.0
190,30190,0.0
191,30191,0.0
192,30192,0.0
193,30193,0.0
194,30194,0.0
195,30195,0.0
196,30196,0.0
197,30197,0.0
198,30198,0.0
199,30199,0.0
200,30200,0.0
201,30201,0.0
202,30202,0.0
203,30203,0.0
204,30204,0.0
205,30205,0.0
206,30206,0.0
207,30207,0.0
208,30208,0.0
209,30209,0.0
210,30210,0.0
211,30211,0.0
212,30212,0.0
213,30213,0.0
214,30214,0.0
215,30215,0.0
216,30216,0.0
217,30217,0.0
218,30218,0.0
219,30219,0.0
